_nid|_title|_photograph
444|Eulemur rufifrons|Eulemur-rufus-(1)(clc)
445|Eulemur rufifrons|DSC_4169(clc)
446|Eulemur albifrons profile|Eulemur-albifrons
448|Eulemur albifrons|Madagascar2005March-April041(clc)
449|Eulemur albifrons|April074(clc)(rotate)
450|Eulemur albifrons|April095(clc)
451|Eulemur albifrons|Fitzinger1860Ealbifrons
452|Eulemur sanfordi  profile|Eulemur-sanfordi
454|Eulemur sanfordi |ed-Eulemur-sanfordi-Male-Analamerana-Ed-Louis(clc)
455|Eulemur sanfordi|EsanfordiHaring(female)(clc)
456|Eulemur sanfordi |EsanfordiHaring(male)(clc)
457|Eulemur cinereiceps profile|Eulemur-cinereiceps
459|Eulemur cinereiceps|DSC_0094(clc)
460|Eulemur cinereiceps|NEW-fig.9.85-pg.423_Eulemur_cineireceps
461|Eulemur cinereiceps|252Grandidier(clc)
462|Eulemur cinereiceps|252Cinereiceps(clc)
463|Eulemur cinereiceps|252_section
464|Eulemur cinereiceps|Eulemur-cinereiceps-captive-1
465|Eulemur cinereiceps|Eulemur-cinereiceps-captive-3
466|Eulemur collaris profile|Collaris-by-Inaki-2thumb
468|Eulemur collaris|Collared-Brown-Lemur_Eulemur-collaris
469|Eulemur collaris|NEW-fig.9.81-pg.427_Eulemur_collaris
470|Eulemur collaris|Collaris-by-Inaki4
471|Eulemur collaris|NEW-fig.9.82-pg.428_Eulemur_collaris
472|Eulemur collaris|EcollarisHaringADJ(clc)(male)
473|Eulemur collaris|EcollarisHaringADJ(clc)(female)
474|Eulemur macaco profile|Eulemur-macaco-macaco
476|Eulemur macaco|DSC_0142(clc)
477|Eulemur macaco|DSC_0148(clc)
478|Eulemur macaco|106624
479|Eulemur macaco|289b(clc)
480|Eulemur macaco|DSC_0151(clc)
481|Eulemur flavifrons profile|Eulemur-flavIfrons
483|Eulemur flavifrons|2005_08_MAD_001(clc)
484|Eulemur flavifrons|292a(clc)
485|Eulemur flavifrons|blue-eyed2(clc)
488|Eulemur coronatus|Eulemurcoronatus(male)
489|Eulemur coronatus|Crowned-Lemur_Eulemur-coronatus-female(clc)
490|Eulemur rubriventer  profile|Eulemur-rubriventer
492|Eulemur rubriventer |Red-bellied-Lemur_Eulemur-rubriventer-male(clc)
493|Eulemur rubriventer |426(clc)
494|Eulemur mongoz profile|Eulemur-mongoz
496|Eulemur mongoz|Female-Eulemur-Mongoz--Anjahamena(clc)
497|Eulemur mongoz|Male-Eulemur-Mongoz--Anjahamena(clc)
498|Eulemur mongoz|NEW-fig.9.103-pg.449_Eulemur_mongoz
501|Varecia variegata variegata profile|Varecia-variegata-variegata
503|Varecia variegata variegata|V.-v.-variegata-2007_07_Madagascar_022(clc)
504|Varecia variegata variegata|V.-v.-ssp-Varecia_jan-05-madagascar0013RAM
505|Varecia variegata editorum profile|Varecia-variegata-editorum
507|Varecia variegata editorum |2006_02_Madagascar_210(clc)
508|Varecia variegata editorum |DSC_0125
509|Varecia variegata editorum |DSC_0024(clc)
510|Varecia variegata subcincta profile|white-belted-black-and-white(clc)thumb
512|Varecia variegata subcincta|certainly-subcincta-Untitled-15(clc)
513|Varecia variegata subcincta|griffith-v-variegata
514|Varecia variegata subcincta|white-belted-black-and-white(clc)
515|Varecia rubra profile|Varecia-rubra2
517|Varecia rubra|VareciaDAMA029LOUIS(clc)
518|Varecia rubra|griffith-v-v-rubra
519|Varecia rubra|RAM_022(clc)
522|Avahi laniger profile|Avahi-laniger
524|Avahi laniger|AvahiJAR20234LOUIS
525|Avahi laniger|2009_01_Madagascar_155(clc)
526|Avahi laniger|2008_12_MAD_032(clc)
527|Avahi laniger|GervaisAvahiADJ
528|Avahi mooreorum  profile|Avahi-mooreorum
530|Avahi mooreorum |Moore's-Woolly-Lemur_Avahi-mooreorum(clc)
531|Avahi peyrierasi profile|Avahi-peyrierasi
533|Avahi peyrierasi|Peyrieras'-Woolly-Lemur_Avahi-peyrierasi-Type-3(clc)
534|Avahi peyrierasi|329(clc)
535|Avahi peyrierasi|Peyrieras'-Woolly-Lemur_Avahi-peyrierasi-Type-2(clc)
536|Avahi betsileo  profile|Avahi-betsileo
538|Avahi betsileo |Betsileo-Woolly-Lemur_Avahi-betsileo-
539|Avahi ramanantsoavanai profile|Avahi-ramanantsoavana
541|Avahi ramanantsoavanai|Ramanantsoavana's-Woolly-Lemur_Avahi-ramanantsoavana2(clc)
542|Avahi meridionalis profile|Avahi-meridionalis
544|Avahi meridionalis|Southern-Woolly-Lemur_Avahi-meridiionalis(clc)
545|Avahi meridionalis|Southern-Woolly-Lemur_Avahi-meridionalis2(clc)
546|Avahi occidentalis profile|Avahi-occidentalis
548|Avahi occidentalis|Western-Woolly-Lemur_Avahi-occidentalis-type-2(clc)
549|Avahi occidentalis|Western-Woolly-Lemur_Avahi-occidentalis(clc)
550|Avahi cleesei profile|Avahi-cleesei
552|Avahi cleesei|Cleese's-Woolly-Lemur-or-Bemaraha-Woolly-Lemur_Avahi-cleesei(clc)
555|Avahi unicolor |Sambirano-Woolly-Lemur_Avahi-unicolor(clc)
561|Propithecus verreauxi  profile|Propithecus-verreauxi
563|Propithecus verreauxi |2009_01_Madagascar_333(clc)
564|Propithecus verreauxi |2009_01_Madagascar_469(clc)
565|Propithecus verreauxi |2009_01_Madagascar_190(clc)
566|Propithecus deckenii  profile|Propithecus-deckenii
568|Propithecus deckenii |2008_0_Mad-Baly_036(clc)
569|Propithecus deckenii |Decken's-Sifaka_Propithecus-deckeni-deckeni(cropped)
570|Propithecus coronatus profile|Propithecus-coronatus
572|Propithecus coronatus|DSC_0265(clc)
573|Propithecus coronatus|DSC_0272(clc)
574|Propithecus coronatus|PropithecusJAM120LOUIS(clc)
575|Propithecus coquereli profile|Propithecus-coquereli
577|Propithecus coquereli|DSC_38961175DSC_3896(clc)
578|Propithecus coquereli|346(clc)
579|Propithecus coquereli|2009_01_Madagascar_493(clc)
580|Propithecus tattersalli profile|Propithecus-tattersalli
582|Propithecus tattersalli|img005(clc)
583|Propithecus tattersalli|PropithecusDAR022LOUIS(clc)
584|Propithecus diadema profile|Propithecus-diadema
586|Propithecus diadema|2009_01_Madagascar_204a(clc)
587|Propithecus diadema|2007_07_Madagascar_008(clc)
588|Propithecus diadema|gr1
589|Propithecus diadema|379b
590|Propithecus diadema|379a
591|Propithecus edwardsi  profile|Propithecus-edwardsi
593|Propithecus edwardsi |2006_02_Madagascar_238(clc)
594|Propithecus edwardsi |EdwardsRAMslidescan(clc)
595|Propithecus edwardsi |381
596|Propithecus candidus profile|Propithecus-candidus
598|Propithecus candidus|Adult-Female-stares-at-hand__Inaki-Relanzon_www.photosfera.com_
599|Propithecus candidus|385(clc)
600|Propithecus candidus|IRR_20080523_128(clc)
601|Propithecus candidus|gr2
602|Propithecus perrieri profile|Propithecus-perrieri
604|Propithecus perrieri |2005_10_MAD_098(clc)
